model name,query index,verifcation time,verifcation memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
CloudReconfiguration-PT-303,5,0,0,NONE,FALSE,2584,3094,17,22,0.018738,314,2095,144,0,151,0,1,33,334,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-303,6,0,0,NONE,FALSE,2584,3094,12,13,0.018082,84,2107,147,0,152,0,1,34,324,2,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-303,7,0,0,NONE,FALSE,2584,3094,169,347,0.023825,2274664,2126,143,0,167,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-303,8,0,0,NONE,FALSE,2584,3094,157,326,0.022768,1094516,2134,147,0,174,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-303,9,0,0,NONE,FALSE,2584,3094,156,325,0.022906,807810,2136,146,0,175,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,1,0,0,NONE,FALSE,2584,3094,161,333,0.022837,2932304,2130,147,0,171,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,10,0,0,NONE,FALSE,2584,3094,161,336,0.023323,0,2131,144,0,171,0,0,24,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,11,0,0,NONE,FALSE,2584,3094,162,334,0.023513,0,2128,147,0,173,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,12,0,0,NONE,FALSE,2584,3094,188,384,0.023743,0,2104,146,0,160,0,0,14,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,13,0,0,NONE,FALSE,2584,3094,155,326,0.022698,0,2136,147,0,172,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,14,0,0,NONE,FALSE,2584,3094,166,341,0.022692,0,2126,147,0,170,0,0,24,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,15,0,0,NONE,FALSE,2584,3094,155,326,0.022804,0,2136,147,0,172,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,16,0,0,NONE,FALSE,2584,3094,179,375,0.023717,0,2112,147,0,157,0,0,14,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,2,0,0,NONE,FALSE,2584,3094,187,388,0.024193,9083840,2102,146,0,157,0,0,14,155,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,3,0,0,NONE,FALSE,2584,3094,153,322,0.023072,2238814,2138,147,0,174,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,4,0,0,NONE,FALSE,2584,3094,158,330,0.022766,2832245,2132,147,0,173,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,5,0,0,NONE,FALSE,2584,3094,158,328,0.023516,3327869,2133,146,0,174,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,6,0,0,NONE,FALSE,2584,3094,155,325,0.022639,2962682,2136,147,0,173,0,0,24,153,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,7,0,0,NONE,FALSE,2584,3094,175,356,0.02335,4653034,2118,144,0,164,0,0,24,154,1,0,0,0,0,0,0,0,0
CloudReconfiguration-PT-304,8,0,0,NONE,FALSE,2584,3094,167,343,0.023007,2804550,2125,146,0,170,0,0,23,153,1,0,0,0,0,0,0,0,0
