model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ASLink-PT-01a,8,0.0,6120,FALSE,TRUE,431,735,333,650,0.006152,10297735,56,18,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0,24
ASLink-PT-01a,9,0.0,6208,FALSE,TRUE,431,735,342,656,0.006182,13008936,55,18,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,17
ASLink-PT-01b,1,0.005399,7836,FALSE,FALSE,846,1148,344,658,0.011188,0,446,29,20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,10,0.024735,7808,TRUE,FALSE,846,1148,335,652,0.008289,10356117,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,11,0.0,6224,FALSE,TRUE,846,1148,347,660,0.008434,0,444,24,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0,38
ASLink-PT-01b,12,0.0,6196,TRUE,TRUE,846,1148,339,654,0.008193,10364365,447,29,20,8,0,1,0,0,0,0,0,0,0,0,0,0,0,42
ASLink-PT-01b,13,0.0,6212,FALSE,TRUE,846,1148,338,654,0.008264,0,446,25,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0,46
ASLink-PT-01b,14,0.039806,7364,FALSE,FALSE,846,1148,345,659,0.008125,0,442,27,18,8,0,2,0,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-01b,15,0.0,6292,TRUE,TRUE,846,1148,350,663,0.008273,0,441,29,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-01b,16,0.009925,7368,FALSE,FALSE,846,1148,344,659,0.008222,10548906,445,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0,40
ASLink-PT-01b,2,0.003058,7860,FALSE,FALSE,846,1148,334,651,0.007228,10543657,448,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,3,0.0,6208,FALSE,TRUE,846,1148,338,655,0.0073,0,444,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,4,0.0,6128,TRUE,TRUE,846,1148,335,652,0.007139,10354747,447,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,5,0.003495,7872,FALSE,FALSE,846,1148,338,654,0.008154,11624552,446,29,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,6,0.0,6188,TRUE,TRUE,846,1148,335,652,0.008211,10356267,446,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,44
ASLink-PT-01b,7,0.002817,7808,FALSE,FALSE,846,1148,337,653,0.008106,12227701,446,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-01b,8,0.0,6224,TRUE,TRUE,846,1148,347,660,0.008649,0,442,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0,38
ASLink-PT-01b,9,0.0,6120,FALSE,TRUE,846,1148,333,650,0.008166,10297735,449,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0,43
ASLink-PT-02a,1,33.2811,80708,FALSE,FALSE,626,1008,468,873,0.011887,0,91,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-02a,10,0.019991,7980,FALSE,FALSE,626,1008,467,873,0.008391,0,91,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,11,0.003178,7984,TRUE,FALSE,626,1008,467,873,0.0074,0,92,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0,35
ASLink-PT-02a,12,0.0,431200,NONE,FALSE,626,1008,469,874,0.00716,0,93,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0,34
ASLink-PT-02a,13,0.545044,8348,FALSE,FALSE,626,1008,478,880,0.008105,0,92,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0,22
ASLink-PT-02a,14,0.0,6748,FALSE,TRUE,626,1008,464,871,0.007295,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,15,0.0,361800,NONE,FALSE,626,1008,473,877,0.008277,0,91,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0,33
ASLink-PT-02a,16,22.2548,55536,FALSE,FALSE,626,1008,464,871,0.0073,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,2,0.0,6748,FALSE,TRUE,626,1008,464,871,0.008261,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,3,0.0,6816,TRUE,TRUE,626,1008,464,871,0.008391,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,4,0.002435,7392,FALSE,FALSE,626,1008,464,871,0.008336,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,5,0.002295,7388,FALSE,FALSE,626,1008,464,871,0.007061,0,93,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,6,0.0,6820,TRUE,TRUE,626,1008,466,873,0.008023,0,91,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02a,7,0.0,6844,FALSE,TRUE,626,1008,472,877,0.008305,0,91,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0,31
ASLink-PT-02a,8,0.020945,7980,FALSE,FALSE,626,1008,465,872,0.008397,0,91,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,37
ASLink-PT-02a,9,0.0,6816,FALSE,TRUE,626,1008,465,872,0.007987,0,93,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0,36
ASLink-PT-02b,1,0.001972,7492,FALSE,FALSE,1242,1621,480,884,0.0098,0,666,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0,58
ASLink-PT-02b,10,0.0,6748,FALSE,TRUE,1242,1621,464,871,0.011129,0,675,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,62
ASLink-PT-02b,11,0.048877,8448,TRUE,FALSE,1242,1621,467,874,0.01125,0,672,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,62
ASLink-PT-02b,12,0.199949,8024,TRUE,FALSE,1242,1621,482,885,0.010797,0,667,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0,60
ASLink-PT-02b,13,0.044024,7920,FALSE,FALSE,1242,1621,465,872,0.009647,0,674,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,62
ASLink-PT-02b,14,0.0,6848,TRUE,TRUE,1242,1621,480,883,0.011238,0,665,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,0,66
ASLink-PT-02b,15,0.014118,8524,TRUE,FALSE,1242,1621,473,879,0.011343,0,670,46,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0,57
ASLink-PT-02b,16,0.053255,7860,TRUE,FALSE,1242,1621,465,872,0.011228,0,674,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,62
ASLink-PT-02b,2,0.0,6832,TRUE,TRUE,1242,1621,472,878,0.011503,0,668,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0,62
ASLink-PT-02b,3,0.003494,7536,TRUE,FALSE,1242,1621,488,890,0.011633,0,662,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,0,59
ASLink-PT-02b,4,0.076173,7984,FALSE,FALSE,1242,1621,469,876,0.011378,0,673,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,60
ASLink-PT-02b,5,0.080725,7916,FALSE,FALSE,1242,1621,465,872,0.011172,0,673,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,63
ASLink-PT-02b,6,0.0,6748,FALSE,TRUE,1242,1621,465,872,0.00976,0,674,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0,63
