"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L"
"ASLink-PT-01b","3","300.00","130680","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","4","300.00","147284","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","5","37.67","7820","FALSE","FALSE","846","1148","339","665","446","29","20","8","0","2","0","0","0","21","0","0"
"ASLink-PT-01b","6","252.94","108228","TRUE","FALSE","846","1148","336","663","446","29","21","8","0","2","0","0","0","22","0","0"
"ASLink-PT-01b","7","52.78","10112","FALSE","FALSE","846","1148","338","664","446","30","20","8","0","2","0","0","0","21","0","0"
"ASLink-PT-01b","8","300.00","170552","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","9","300.00","133436","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","1","300.00","106472","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","10","81.34","7708","FALSE","FALSE","626","1008","467","872","91","28","30","11","0","4","0","0","0","23","0","0"
"ASLink-PT-02a","11","81.80","7700","TRUE","FALSE","626","1008","468","873","92","28","30","11","0","4","0","0","0","21","0","0"
"ASLink-PT-02a","12","300.00","124748","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","13","84.72","7708","FALSE","FALSE","626","1008","478","880","92","28","31","11","0","0","0","0","0","14","0","0"
"ASLink-PT-02a","14","300.01","176240","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","300.00","119584","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","174.75","47708","FALSE","FALSE","626","1008","465","871","93","28","31","11","0","4","0","0","0","22","0","0"
"ASLink-PT-02a","2","300.01","184324","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","3","300.00","114192","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","81.41","7844","FALSE","FALSE","626","1008","465","871","93","28","31","11","0","4","0","0","0","22","0","0"
"ASLink-PT-02a","5","81.40","7704","FALSE","FALSE","626","1008","465","871","93","28","31","11","0","4","0","0","0","22","0","0"
"ASLink-PT-02a","6","300.00","103196","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","300.01","190904","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","83.38","8368","FALSE","FALSE","626","1008","466","872","91","28","31","11","0","4","0","0","0","23","0","0"
"ASLink-PT-02a","9","300.00","118616","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","95.86","9252","FALSE","FALSE","1242","1621","478","892","666","46","32","10","0","3","0","0","0","34","0","0"
"ASLink-PT-02b","10","300.00","164656","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","99.13","10420","TRUE","FALSE","1242","1621","469","885","672","47","34","11","0","4","0","0","0","33","0","0"
"ASLink-PT-02b","12","300.00","115996","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","94.59","9260","FALSE","FALSE","1242","1621","468","884","674","47","34","11","0","4","0","0","0","32","0","0"
"ASLink-PT-02b","14","300.01","161824","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","15","300.00","113880","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","16","94.94","9300","TRUE","FALSE","1242","1621","467","883","674","47","34","11","0","4","0","0","0","33","0","0"
