"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L"
"ASLink-PT-01b","16","89.72","8852","FALSE","FALSE","846","2","846","2","0","0","0","0","0","0","0","0","0","0","0","0"

"ASLink-PT-02a","1","900.02","384568","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","2","0.09","7604","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","3","0.08","7380","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","120.53","8596","FALSE","FALSE","626","6","618","6","0","0","8","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","5","120.51","8592","FALSE","FALSE","626","2","618","2","0","0","8","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","6","0.08","7628","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","1.00","7760","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","120.67","8584","FALSE","FALSE","626","4","618","4","0","0","8","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","9","0.08","7616","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","10","126.66","8984","FALSE","FALSE","626","4","618","4","0","0","8","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","11","120.93","8596","TRUE","FALSE","626","6","618","6","0","0","8","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","12","900.02","499632","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","13","120.48","8472","FALSE","FALSE","626","2","618","2","0","0","8","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","14","0.08","7608","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","900.02","468948","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","673.49","235528","FALSE","FALSE","626","8","618","8","0","0","8","0","0","0","0","0","0","0","0","0"

"ASLink-PT-02b","1","341.91","9928","FALSE","FALSE","1242","8","1242","8","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","2","0.11","9008","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","3","900.00","181660","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","4","352.24","15812","FALSE","FALSE","1242","2","1242","2","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","5","341.20","9880","FALSE","FALSE","1242","0","1242","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","6","0.15","9448","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","7","343.84","10236","TRUE","FALSE","1242","6","1242","6","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","8","900.02","238080","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","9","345.24","12856","FALSE","FALSE","1242","6","1242","6","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","10","0.13","9460","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","633.95","86972","TRUE","FALSE","1242","2","1242","2","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","12","900.01","295608","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","900.00","218608","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","14","0.12","9016","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","15","397.30","30696","TRUE","FALSE","1242","6","1242","6","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","16","900.01","217692","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"

"ASLink-PT-03a","1","900.02","398552","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","2","298.90","8936","FALSE","FALSE","821","6","809","6","0","0","12","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","3","2.41","8840","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","4","0.09","8112","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","5","900.01","220516","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","6","0.09","8112","TRUE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","7","0.11","8488","FALSE","TRUE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","8","298.96","8988","FALSE","FALSE","821","8","809","8","0","0","12","0","0","0","0","0","0","0","0","0"
"ASLink-PT-03a","9","900.02","459136","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
