model name,query index,verifcation time,verifcation memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R
ASLink-PT-01b,16,0,0,NONE,FALSE,846,1148,352,667,1.53868,0,456,29,19,7,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,2,0,0,NONE,FALSE,846,1148,342,659,1.56603,0,462,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,3,0,0,NONE,FALSE,846,1148,346,663,1.55419,0,458,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,4,0,0,NONE,FALSE,846,1148,343,660,1.55942,0,461,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,5,0,0,NONE,FALSE,846,1148,348,663,1.54763,0,459,29,19,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,6,0,0,NONE,FALSE,846,1148,344,661,1.55469,0,460,29,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,7,0,0,NONE,FALSE,846,1148,346,662,1.55464,0,459,30,20,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,8,0,0,NONE,FALSE,846,1148,356,669,1.52872,0,452,30,18,8,0,1,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-01b,9,0,0,NONE,FALSE,846,1148,341,658,1.56581,0,463,30,21,8,0,2,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,1,0,0,NONE,FALSE,626,1008,470,875,0.567976,0,112,27,30,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,10,0,0,NONE,FALSE,626,1008,468,874,0.57242,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,11,0,0,NONE,FALSE,626,1008,468,874,0.572819,0,112,28,31,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,12,0,0,NONE,FALSE,626,1008,470,875,0.568209,0,112,24,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,13,0,0,NONE,FALSE,626,1008,479,881,0.52633,0,105,28,31,11,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,14,0,0,NONE,FALSE,626,1008,465,872,0.580066,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,15,0,0,NONE,FALSE,626,1008,478,882,0.542183,0,107,25,30,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,16,0,0,NONE,FALSE,626,1008,465,872,0.580705,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,2,0,0,NONE,FALSE,626,1008,465,872,0.580456,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,3,0,0,NONE,FALSE,626,1008,465,872,0.581168,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,4,0,0,NONE,FALSE,626,1008,465,872,0.581017,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,5,0,0,NONE,FALSE,626,1008,465,872,0.580363,0,114,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,6,0,0,NONE,FALSE,626,1008,467,874,0.574616,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,7,0,0,NONE,FALSE,626,1008,474,879,0.554581,0,108,27,31,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,8,0,0,NONE,FALSE,626,1008,467,874,0.573389,0,112,28,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02a,9,0,0,NONE,FALSE,626,1008,466,873,0.578655,0,114,23,32,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,1,0,0,NONE,FALSE,1242,1621,491,895,3.14731,0,687,46,32,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,10,0,0,NONE,FALSE,1242,1621,474,881,3.20307,0,699,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,11,0,0,NONE,FALSE,1242,1621,477,884,3.19433,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,12,0,0,NONE,FALSE,1242,1621,493,896,3.14692,0,688,43,32,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,13,0,0,NONE,FALSE,1242,1621,475,882,3.2044,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,14,0,0,NONE,FALSE,1242,1621,493,896,3.14009,0,690,42,31,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,15,0,0,NONE,FALSE,1242,1621,487,891,3.16167,0,690,46,33,11,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,16,0,0,NONE,FALSE,1242,1621,475,882,3.20071,0,698,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,2,0,0,NONE,FALSE,1242,1621,482,888,3.17895,0,692,47,34,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,3,0,0,NONE,FALSE,1242,1621,499,901,3.12472,0,682,45,30,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,4,0,0,NONE,FALSE,1242,1621,479,886,3.18505,0,695,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,5,0,0,NONE,FALSE,1242,1621,476,883,3.19715,0,697,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,6,0,0,NONE,FALSE,1242,1621,476,883,3.1961,0,698,46,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,7,0,0,NONE,FALSE,1242,1621,487,893,3.15738,0,689,46,34,10,0,3,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,8,0,0,NONE,FALSE,1242,1621,477,884,3.19779,0,696,47,35,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-02b,9,0,0,NONE,FALSE,1242,1621,485,890,3.16768,0,690,47,33,11,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,1,0,0,NONE,FALSE,821,1281,597,1094,0.97628,0,159,33,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,10,0,0,NONE,FALSE,821,1281,601,1096,0.96017,0,156,38,43,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,11,0,0,NONE,FALSE,821,1281,597,1094,0.973907,0,159,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,12,0,0,NONE,FALSE,821,1281,596,1093,0.976932,0,159,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,13,0,0,NONE,FALSE,821,1281,596,1093,0.977743,0,159,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,14,0,0,NONE,FALSE,821,1281,597,1094,0.976119,0,158,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,15,0,0,NONE,FALSE,821,1281,597,1094,0.974778,0,159,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,16,0,0,NONE,FALSE,821,1281,616,1106,0.892095,0,146,38,44,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,2,0,0,NONE,FALSE,821,1281,598,1094,0.976421,0,158,38,44,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,3,0,0,NONE,FALSE,821,1281,623,1110,0.870514,0,142,38,41,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,4,0,0,NONE,FALSE,821,1281,596,1093,0.976928,0,159,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,5,0,0,NONE,FALSE,821,1281,596,1093,0.976526,0,159,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,6,0,0,NONE,FALSE,821,1281,601,1097,0.959547,0,155,38,45,14,0,5,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,7,0,0,NONE,FALSE,821,1281,597,1094,0.97415,0,159,37,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,8,0,0,NONE,FALSE,821,1281,597,1094,0.972756,0,158,38,45,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03a,9,0,0,NONE,FALSE,821,1281,620,1109,0.878561,0,143,38,43,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,1,0,0,NONE,FALSE,1638,2094,610,1106,5.41272,0,933,64,48,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,10,0,0,NONE,FALSE,1638,2094,612,1109,5.40033,0,930,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,11,0,0,NONE,FALSE,1638,2094,611,1106,5.40667,0,933,64,47,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,12,0,0,NONE,FALSE,1638,2094,617,1111,5.37973,0,928,64,48,14,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,13,0,0,NONE,FALSE,1638,2094,610,1107,5.40979,0,932,63,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,14,0,0,NONE,FALSE,1638,2094,610,1107,5.40781,0,933,62,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,15,0,0,NONE,FALSE,1638,2094,609,1106,5.40909,0,933,63,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,16,0,0,NONE,FALSE,1638,2094,618,1112,5.38272,0,927,64,48,14,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,2,0,0,NONE,FALSE,1638,2094,636,1128,5.30043,0,913,62,45,13,0,4,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,3,0,0,NONE,FALSE,1638,2094,608,1105,5.41287,0,934,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,4,0,0,NONE,FALSE,1638,2094,610,1107,5.4055,0,932,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,5,0,0,NONE,FALSE,1638,2094,611,1107,5.40147,0,933,63,48,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,6,0,0,NONE,FALSE,1638,2094,617,1112,5.38247,0,927,63,48,14,0,5,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,7,0,0,NONE,FALSE,1638,2094,609,1106,5.41422,0,933,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,8,0,0,NONE,FALSE,1638,2094,608,1105,5.4171,0,934,64,49,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-03b,9,0,0,NONE,FALSE,1638,2094,615,1111,5.38272,0,930,62,48,14,0,6,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,1,0,0,NONE,FALSE,1016,1554,758,1334,1.33489,0,184,47,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,10,0,0,NONE,FALSE,1016,1554,729,1315,1.47133,0,203,48,57,17,0,8,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,11,0,0,NONE,FALSE,1016,1554,727,1314,1.47831,0,204,48,58,17,0,8,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,12,0,0,NONE,FALSE,1016,1554,727,1314,1.47832,0,204,48,58,17,0,8,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,13,0,0,NONE,FALSE,1016,1554,733,1319,1.45196,0,200,47,58,17,0,7,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,14,0,0,NONE,FALSE,1016,1554,731,1317,1.46136,0,201,48,57,17,0,8,0,0,0,0,0,0,0,0,0,0,0
ASLink-PT-04a,15,0,0,NONE,FALSE,1016,1554,729,1316,1.46929,0,202,47,58,17,0,8,0,0,0,0,0,0,0,0,0,0,0
