"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M","rule N"
"ASLink-PT-01b","15","300.01","174196","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","16","1.86","7964","FALSE","FALSE","846","1148","345","670","445","29","19","7","0","1","0","0","0","18","0","0","0","0"
"ASLink-PT-01b","2","1.87","7964","FALSE","FALSE","846","1148","335","662","448","30","21","8","0","2","0","0","0","21","0","0","0","0"
"ASLink-PT-01b","3","300.00","146516","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","4","300.01","177424","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","5","1.84","7964","FALSE","FALSE","846","1148","339","665","446","29","20","8","0","2","0","0","0","21","0","0","0","0"
"ASLink-PT-01b","6","205.77","108308","TRUE","FALSE","846","1148","336","663","446","29","21","8","0","2","0","0","0","22","0","0","0","0"
"ASLink-PT-01b","7","5.74","10116","FALSE","FALSE","846","1148","338","664","446","30","20","8","0","2","0","0","0","21","0","0","0","0"
"ASLink-PT-01b","8","300.01","193220","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","9","300.00","154592","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","1","300.00","135284","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","10","0.86","7676","FALSE","FALSE","626","1008","466","872","91","28","31","11","0","4","0","0","0","23","0","0","0","0"
"ASLink-PT-02a","11","0.83","7676","TRUE","FALSE","626","1008","467","873","92","28","31","11","0","4","0","0","0","21","0","0","0","0"
"ASLink-PT-02a","12","300.01","165924","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","13","1.11","7672","FALSE","FALSE","626","1008","478","880","92","28","31","11","0","0","0","0","0","14","0","0","0","0"
"ASLink-PT-02a","14","300.01","235424","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","300.00","163396","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","93.88","47644","FALSE","FALSE","626","1008","464","871","93","28","32","11","0","4","0","0","0","22","0","0","0","0"
"ASLink-PT-02a","2","300.01","233080","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","3","300.00","150300","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","4","0.86","7672","FALSE","FALSE","626","1008","464","871","93","28","32","11","0","4","0","0","0","22","0","0","0","0"
"ASLink-PT-02a","5","0.85","7676","FALSE","FALSE","626","1008","464","871","93","28","32","11","0","4","0","0","0","22","0","0","0","0"
"ASLink-PT-02a","6","300.01","135492","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","7","300.01","268192","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","8","2.45","8304","FALSE","FALSE","626","1008","465","872","91","28","32","11","0","4","0","0","0","23","0","0","0","0"
"ASLink-PT-02a","9","300.01","153632","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","1","3.83","9280","FALSE","FALSE","1242","1621","477","892","666","46","33","10","0","3","0","0","0","34","0","0","0","0"
"ASLink-PT-02b","10","300.01","215144","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","11","8.62","10408","TRUE","FALSE","1242","1621","468","885","672","47","35","11","0","4","0","0","0","33","0","0","0","0"
"ASLink-PT-02b","12","300.00","161100","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","13","4.83","9280","FALSE","FALSE","1242","1621","467","884","674","47","35","11","0","4","0","0","0","32","0","0","0","0"
"ASLink-PT-02b","14","300.01","228864","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","15","300.01","160284","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","16","5.57","9336","TRUE","FALSE","1242","1621","466","883","674","47","35","11","0","4","0","0","0","33","0","0","0","0"
"ASLink-PT-02b","2","300.01","177544","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","3","3.68","9280","TRUE","FALSE","1242","1621","485","898","662","45","31","10","0","3","0","0","0","33","0","0","0","0"
"ASLink-PT-02b","4","5.14","9484","FALSE","FALSE","1242","1621","470","887","671","46","35","11","0","4","0","0","0","33","0","0","0","0"
"ASLink-PT-02b","5","6.10","9588","FALSE","FALSE","1242","1621","467","884","673","47","35","11","0","4","0","0","0","33","0","0","0","0"
"ASLink-PT-02b","6","300.01","208984","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","7","300.01","178588","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02b","8","5.73","9284","FALSE","FALSE","1242","1621","467","884","672","47","35","11","0","4","0","0","0","34","0","0","0","0"
"ASLink-PT-02b","9","4.95","9284","FALSE","FALSE","1242","1621","473","888","666","47","33","11","0","4","0","0","0","36","0","0","0","0"
