model name,query index,verification time,verification memory,answer,solved by query simplification,prev place count,prev transition count,post place count,post transition count,reduce time,state space size,rule A,rule B,rule C,rule D,rule E,rule F,rule G,rule H,rule I,rule J,rule K,rule L,rule M,rule N,rule P,rule Q,rule R,rule S
ASLink-PT-01b,12,0.0,6192,TRUE,TRUE,846,1148,339,654,0.008678,10364365,453,29,20,12,0,0,0,0,0,0,0,0,1,0,0,0,0,38
ASLink-PT-01b,13,0.0,6204,FALSE,TRUE,846,1148,338,654,0.008797,0,452,25,20,12,0,0,0,0,0,0,0,0,2,0,0,0,0,42
ASLink-PT-01b,14,0.023894,7360,FALSE,FALSE,846,1148,345,659,0.008762,14656352,449,27,18,12,0,0,0,0,0,0,0,0,2,0,0,0,0,39
ASLink-PT-01b,15,0.0,6284,TRUE,TRUE,846,1148,350,663,0.008847,0,446,29,18,12,0,0,0,0,0,0,0,0,1,0,0,0,0,34
ASLink-PT-01b,16,0.009816,7360,FALSE,FALSE,846,1148,344,659,0.008693,10548906,451,29,19,11,0,0,0,0,0,0,0,0,1,0,0,0,0,35
ASLink-PT-01b,2,0.002973,7852,FALSE,FALSE,846,1148,334,651,0.008699,10543657,455,30,21,12,0,0,0,0,0,0,0,0,2,0,0,0,0,38
ASLink-PT-01b,3,0.0,6204,FALSE,TRUE,846,1148,338,655,0.008793,0,451,30,21,12,0,0,0,0,0,0,0,0,2,0,0,0,0,38
ASLink-PT-01b,4,0.0,6120,TRUE,TRUE,846,1148,335,652,0.008485,10354747,454,30,21,12,0,0,0,0,0,0,0,0,2,0,0,0,0,38
ASLink-PT-01b,5,0.003486,7868,FALSE,FALSE,846,1148,338,654,0.008545,11624552,452,29,20,12,0,0,0,0,0,0,0,0,2,0,0,0,0,39
ASLink-PT-01b,6,0.0,6184,TRUE,TRUE,846,1148,335,652,0.007216,10356267,453,29,21,12,0,0,0,0,0,0,0,0,2,0,0,0,0,39
