"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L"
"AutoFlight-PT-06a","1","0.10","6780","TRUE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-06b","1","1.36","7512","TRUE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-12a","1","0.14","7068","FALSE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-12b","1","0.19","8248","FALSE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-24a","1","0.71","7220","FALSE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-24b","1","0.23","10216","FALSE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-48a","1","300.00","173120","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-48b","1","300.00","89268","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-96a","1","300.00","143628","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"AutoFlight-PT-96b","1","300.00","87200","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
