,model name,query index,base-rules@verification time,with-r@verification time,veri time ratio,base-rules@state space size,with-r@state space size,state space ratio,with-r@reduce time,base-rules@answer,type
458,Eratosthenes-PT-050,3,0.02,0.54,0.037037037037037035,2,2,1.0,0.000119,FALSE,EF
144,ServersAndClients-PT-100020,3,0.02,0.53,0.03773584905660377,604,604,1.0,0.051343,TRUE,AG
431,GPPP-PT-C0001N0000010000,2,0.02,0.53,0.03773584905660377,10903,10903,1.0,7.9e-05,FALSE,AG
412,JoinFreeModules-PT-0004,15,0.03,0.69,0.043478260869565216,138230241,138230241,1.0,5.8e-05,TRUE,EF
409,FMS-PT-00010,6,0.06,1.27,0.047244094488188976,968663,968663,1.0,5.2e-05,TRUE,EF
512,BusinessProcesses-PT-16,14,0.04,0.83,0.04819277108433735,80495,80479,1.0001988096273562,0.000947,TRUE,EF
162,RwMutex-PT-r0010w0050,12,0.03,0.59,0.05084745762711865,1,1,1.0,0.00027,NONE,EF
454,FMS-PT-00010,11,0.03,0.56,0.05357142857142856,166,166,1.0,5.2e-05,FALSE,AG
514,BusinessProcesses-PT-13,16,0.04,0.71,0.056338028169014086,126812,126772,1.0003155270880004,0.000816,TRUE,EF
379,DLCround-PT-03a,16,0.03,0.52,0.05769230769230769,7,7,1.0,0.001766,TRUE,AG
545,FMS-PT-00010,8,0.04,0.69,0.05797101449275363,116265392,43604223,2.666379171577028,4.6e-05,FALSE,AG
428,Eratosthenes-PT-500,11,0.03,0.5,0.06,33,33,1.0,0.003853,TRUE,AG
363,AutoFlight-PT-48a,10,0.09,1.48,0.06081081081081081,1426,1426,1.0,0.003136,TRUE,AG
536,CANConstruction-PT-005,16,0.08,1.25,0.064,40380,35372,1.1415809114553885,0.000234,TRUE,AG
169,RwMutex-PT-r0500w0010,3,0.05,0.77,0.06493506493506494,10261,10261,1.0,0.010708,FALSE,EF
163,RwMutex-PT-r0020w0010,3,0.06,0.89,0.06741573033707865,3,3,1.0,0.000191,FALSE,EF
424,FMS-PT-00002,8,0.04,0.58,0.06896551724137932,256,256,1.0,4.2e-05,FALSE,EF
513,BusinessProcesses-PT-16,3,0.06,0.85,0.07058823529411765,23722,23716,1.0002529937594873,0.000987,TRUE,EF
322,DNAwalker-PT-07track28RR,2,0.04,0.53,0.07547169811320754,228001218,228001218,1.0,0.000761,FALSE,EF
534,DLCround-PT-05a,16,0.04,0.53,0.07547169811320754,368,350,1.0514285714285714,0.004014,FALSE,EF
173,RwMutex-PT-r2000w0010,5,0.04,0.51,0.0784313725490196,85,85,1.0,0.16198,FALSE,AG
446,FlexibleBarrier-PT-16a,11,0.05,0.61,0.0819672131147541,385,385,1.0,0.00179,FALSE,AG
423,FMS-PT-00005,3,0.06,0.71,0.08450704225352113,386863,386863,1.0,4.5e-05,TRUE,EF
429,GPUForwardProgress-PT-20b,11,0.05,0.59,0.08474576271186442,17,17,1.0,0.001015,FALSE,EF
241,NeoElection-PT-3,2,0.05,0.57,0.08771929824561404,186221,186221,1.0,0.002345,FALSE,EF
517,BusinessProcesses-PT-19,8,0.07,0.77,0.09090909090909091,5905025,5899905,1.0008678105833908,0.001012,FALSE,EF
359,AutoFlight-PT-48b,12,0.07,0.75,0.09333333333333334,1710743,1710743,1.0,0.007492,FALSE,EF
408,IOTPpurchase-PT-C03M03P03D03,1,0.07,0.75,0.09333333333333334,74552,74552,1.0,0.000146,FALSE,AG
519,BusinessProcesses-PT-17,15,0.05,0.52,0.09615384615384616,20760,20728,1.0015438054805095,0.000989,TRUE,EF
515,BusinessProcesses-PT-13,3,0.08,0.79,0.10126582278481013,11557,11551,1.000519435546706,0.000963,FALSE,EF
525,BusinessProcesses-PT-17,7,0.09,0.83,0.10843373493975904,246529,245825,1.0028638258924032,0.000951,FALSE,AG
367,AutoFlight-PT-24b,1,0.07,0.62,0.11290322580645162,3,3,1.0,0.002681,FALSE,EF
383,CircadianClock-PT-000010,10,0.06,0.53,0.11320754716981131,6766321,6766321,1.0,2.1e-05,TRUE,AG
167,RwMutex-PT-r0020w0010,6,0.06,0.51,0.11764705882352941,85,85,1.0,0.000217,TRUE,AG
362,AutoFlight-PT-48a,11,0.06,0.5,0.12,109,109,1.0,0.002825,FALSE,EF
381,ClientsAndServers-PT-N0500P0,10,0.07,0.57,0.12280701754385967,8001,8001,1.0,9.3e-05,TRUE,EF
234,NeighborGrid-PT-d2n3m1c12,11,0.07,0.57,0.12280701754385967,7921,7921,1.0,0.005654,FALSE,EF
226,Philosophers-PT-000010,3,0.07,0.56,0.125,459271,459271,1.0,4.2e-05,FALSE,AG
364,AutoFlight-PT-24b,12,0.08,0.59,0.13559322033898305,3185,3185,1.0,0.004016,TRUE,EF
386,CSRepetitions-PT-04,10,0.08,0.53,0.1509433962264151,65194297,65194297,1.0,0.000372,TRUE,AG
491,Diffusion2D-PT-D05N010,1,0.08,0.51,0.1568627450980392,20021,20021,1.0,0.059969,TRUE,EF
399,CSRepetitions-PT-03,10,0.09,0.56,0.1607142857142857,23760,23760,1.0,0.000165,TRUE,AG
549,CloudDeployment-PT-6a,8,0.17,1.05,0.1619047619047619,154311315,33384626,4.622226859752749,0.011912,FALSE,AG
418,MultiCrashLeafsetExtension-PT-S16C02,1,0.15,0.88,0.17045454545454544,28481,28481,1.0,0.022512,FALSE,EF
382,ClientsAndServers-PT-N0200P0,5,0.1,0.55,0.18181818181818182,3201,3201,1.0,9.2e-05,TRUE,EF
360,AutoFlight-PT-48b,11,0.16,0.86,0.18604651162790697,578,578,1.0,0.007486,TRUE,AG
365,AutoFlight-PT-24b,11,0.15,0.8,0.18749999999999997,618800,618800,1.0,0.002792,TRUE,EF
445,FlexibleBarrier-PT-16a,12,0.12,0.64,0.1875,3,3,1.0,0.0017,TRUE,EF
361,AutoFlight-PT-48b,10,0.1,0.52,0.19230769230769232,2600,2600,1.0,0.007462,TRUE,EF
524,ASLink-PT-01a,2,0.32,1.65,0.19393939393939397,35136997,35040539,1.0027527544596275,0.002749,FALSE,AG
235,NeighborGrid-PT-d2n3m1t12,12,0.13,0.59,0.22033898305084748,360361,360361,1.0,0.091603,TRUE,AG
526,BusinessProcesses-PT-15,1,0.2,0.82,0.24390243902439027,31357,31229,1.0040987543629318,0.00096,TRUE,EF
282,MultiCrashLeafsetExtension-PT-S16C02,6,0.15,0.61,0.2459016393442623,28424,28424,1.0,0.022264,FALSE,EF
527,ASLink-PT-01a,1,1.02,3.52,0.2897727272727273,45764839,45441557,1.0071142368647272,0.001663,TRUE,AG
132,MultiCrashLeafsetExtension-PT-S16C06,10,0.41,1.36,0.3014705882352941,10761768,10761768,1.0,0.078097,FALSE,EF
97,MultiCrashLeafsetExtension-PT-S16C04,1,0.29,0.95,0.30526315789473685,1137920,1137920,1.0,0.045531,FALSE,EF
84,MultiCrashLeafsetExtension-PT-S16C05,6,0.37,1.2,0.30833333333333335,4023278,4023278,1.0,0.060035,FALSE,EF
531,ASLink-PT-01b,2,1.93,5.84,0.3304794520547945,38435999,36987131,1.0391722191158865,0.0037,FALSE,AG
204,ServersAndClients-PT-400080,2,0.29,0.85,0.3411764705882353,3207,3207,1.0,20.1531,TRUE,EF
283,MultiCrashLeafsetExtension-PT-S16C02,7,0.21,0.61,0.3442622950819672,28410,28410,1.0,0.022192,FALSE,EF
106,MultiCrashLeafsetExtension-PT-S16C06,1,0.47,1.34,0.3507462686567164,10769428,10769428,1.0,0.07858,FALSE,EF
31,MultiCrashLeafsetExtension-PT-S24C03,1,0.69,1.76,0.39204545454545453,1097173,1097173,1.0,0.154749,FALSE,AG
219,PhilosophersDyn-PT-10,6,0.32,0.73,0.4383561643835617,617306,617306,1.0,0.035519,TRUE,EF
105,MultiCrashLeafsetExtension-PT-S16C05,16,0.36,0.82,0.43902439024390244,4028980,4028980,1.0,0.059912,FALSE,EF
113,MultiCrashLeafsetExtension-PT-S24C02,1,0.89,1.9,0.46842105263157896,91710,91710,1.0,0.104586,FALSE,AG
102,MultiCrashLeafsetExtension-PT-S16C03,6,0.32,0.64,0.5,228173,228173,1.0,0.032277,FALSE,EF
532,ASLink-PT-01b,13,0.86,1.71,0.5029239766081871,71514204,68719727,1.0406648443175568,0.003675,FALSE,EF
236,PhilosophersDyn-PT-20,4,0.6,1.17,0.5128205128205129,12961311,12961311,1.0,0.915192,FALSE,AG
65,MultiCrashLeafsetExtension-PT-S32C02,3,0.77,1.49,0.5167785234899329,211962,211962,1.0,0.343076,FALSE,EF
263,MultiCrashLeafsetExtension-PT-S32C03,13,1.28,2.41,0.5311203319502075,3387982,3387982,1.0,0.520279,TRUE,EF
101,MultiCrashLeafsetExtension-PT-S16C03,8,0.82,1.54,0.5324675324675324,226664,226664,1.0,0.032375,TRUE,AG
81,MultiCrashLeafsetExtension-PT-S16C05,9,0.52,0.97,0.5360824742268041,4028135,4028135,1.0,0.059756,FALSE,EF
422,GPPP-PT-C0001N0000010000,3,0.36,0.64,0.5625,283610381,283610381,1.0,5.7e-05,TRUE,EF
56,MultiCrashLeafsetExtension-PT-S24C04,10,0.98,1.73,0.5664739884393064,8411345,8411345,1.0,0.224538,FALSE,EF
385,BridgeAndVehicles-PT-V20P20N20,15,0.33,0.58,0.5689655172413793,19346453,19346453,1.0,0.014027,TRUE,EF
372,BridgeAndVehicles-PT-V20P20N50,1,1.33,2.32,0.5732758620689656,4123760,4123760,1.0,0.076027,TRUE,EF
95,MultiCrashLeafsetExtension-PT-S16C04,4,0.31,0.52,0.5961538461538461,1136393,1136393,1.0,0.039529,TRUE,AG
13,MultiCrashLeafsetExtension-PT-S24C04,1,1.65,2.76,0.5978260869565217,8411893,8411893,1.0,0.222201,FALSE,EF
23,MultiCrashLeafsetExtension-PT-S24C03,6,2.3,3.81,0.6036745406824147,1097297,1097297,1.0,0.154953,TRUE,AG
141,MultiCrashLeafsetExtension-PT-S32C03,12,1.16,1.9,0.6105263157894737,3387982,3387982,1.0,0.517265,TRUE,EF
281,MultiCrashLeafsetExtension-PT-S16C02,13,0.54,0.88,0.6136363636363636,28625,28625,1.0,0.021881,TRUE,AG
437,GPPP-PT-C0001N0000000100,12,0.36,0.58,0.6206896551724138,2515,2515,1.0,7.6e-05,FALSE,EF
369,BridgeAndVehicles-PT-V20P10N20,2,0.38,0.61,0.6229508196721312,31773043,31773043,1.0,0.006587,FALSE,AG
82,MultiCrashLeafsetExtension-PT-S16C05,8,0.64,0.98,0.653061224489796,4039938,4039938,1.0,0.059529,FALSE,AG
410,JoinFreeModules-PT-0003,14,20.02,30.17,0.6635730858468677,4555,4555,1.0,4.2e-05,FALSE,EF
7,JoinFreeModules-PT-0004,7,20.01,30.06,0.6656686626746507,138230241,139898537,0.9880749574958029,5e-05,FALSE,AG
88,MultiCrashLeafsetExtension-PT-S16C05,1,2.07,3.08,0.672077922077922,4029327,4029327,1.0,0.061024,TRUE,EF
50,MultiCrashLeafsetExtension-PT-S32C03,2,2.24,3.26,0.687116564417178,3388314,3388314,1.0,0.521585,FALSE,EF
71,MultiCrashLeafsetExtension-PT-S24C04,13,3.61,5.24,0.6889312977099236,8412423,8412423,1.0,0.219659,FALSE,AG
12,MultiCrashLeafsetExtension-PT-S24C03,16,2.02,2.87,0.7038327526132404,1097294,1097294,1.0,0.154678,TRUE,EF
15,MultiCrashLeafsetExtension-PT-S24C04,2,0.66,0.92,0.717391304347826,8411211,8411211,1.0,0.22477,FALSE,EF
142,MultiCrashLeafsetExtension-PT-S32C03,14,6.16,8.36,0.736842105263158,3391126,3391126,1.0,0.518463,TRUE,AG
36,MultiCrashLeafsetExtension-PT-S24C02,12,0.77,1.04,0.7403846153846154,91788,91788,1.0,0.103137,FALSE,AG
203,ServersAndClients-PT-400080,1,1.57,2.1,0.7476190476190476,32884,32884,1.0,0.676338,FALSE,AG
126,MultiCrashLeafsetExtension-PT-S16C07,2,0.62,0.82,0.7560975609756098,22690231,22690231,1.0,0.100006,FALSE,EF
230,MultiCrashLeafsetExtension-PT-S32C03,15,4.15,5.47,0.7586837294332724,3388387,3388387,1.0,0.514878,FALSE,EF
22,MultiCrashLeafsetExtension-PT-S24C03,10,0.93,1.22,0.7622950819672132,1097500,1097500,1.0,0.154252,FALSE,AG
75,MultiCrashLeafsetExtension-PT-S24C02,6,3.6,4.64,0.7758620689655173,91648,91648,1.0,0.104107,TRUE,EF
19,MultiCrashLeafsetExtension-PT-S24C04,6,1.12,1.43,0.7832167832167833,8411644,8411644,1.0,0.220047,TRUE,AG
85,MultiCrashLeafsetExtension-PT-S16C05,5,0.74,0.93,0.7956989247311828,4032438,4032438,1.0,0.059704,FALSE,EF
197,ServersAndClients-PT-200040,12,0.42,0.52,0.8076923076923076,8442,8442,1.0,0.064954,TRUE,EF
109,MultiCrashLeafsetExtension-PT-S16C02,14,0.65,0.8,0.8125,28410,28410,1.0,0.022206,TRUE,AG
73,MultiCrashLeafsetExtension-PT-S24C02,9,3.57,4.39,0.8132118451025058,91578,91578,1.0,0.10317,FALSE,EF
40,MultiCrashLeafsetExtension-PT-S24C04,14,0.79,0.96,0.8229166666666667,8413182,8413182,1.0,0.223714,FALSE,EF
93,MultiCrashLeafsetExtension-PT-S16C04,11,0.43,0.52,0.8269230769230769,1135395,1135395,1.0,0.044609,FALSE,EF
8,MultiCrashLeafsetExtension-PT-S24C03,12,2.19,2.63,0.8326996197718631,1097294,1097294,1.0,0.159016,FALSE,AG
48,MultiCrashLeafsetExtension-PT-S32C03,4,2.14,2.54,0.8425196850393701,3387909,3387909,1.0,0.516791,FALSE,EF
