,model name,query index,base-rules@verification time,with-r-last@verification time,veri time ratio,base-rules@state space size,with-r-last@state space size,state space ratio,net size,with-r-last@reduce time,base-rules@answer
43,TCPcondis-PT-05,5,0.01,0.2,0.049999999999999996,8269569,9309900,0.8882554055360423,62,9.6e-05,FALSE
44,TCPcondis-PT-05,16,0.01,0.14,0.07142857142857142,3693016,4152599,0.8893264194303375,62,9.3e-05,TRUE
45,TCPcondis-PT-05,10,0.01,0.04,0.25,8842564,9920552,0.8913379013587147,62,0.000102,FALSE
46,TCPcondis-PT-05,3,0.03,0.15,0.2,11050975,12390792,0.8918699466507064,62,9.7e-05,FALSE
47,JoinFreeModules-PT-0200,2,0.04,20.22,0.001978239366963403,559224451,626556091,0.8925369317014588,2602,0.004012,TRUE
48,TCPcondis-PT-05,6,0.07,0.11,0.6363636363636365,9108384,10186890,0.894128041040985,62,9e-05,TRUE
49,UtilityControlRoom-PT-Z2T3N04,13,0.11,0.05,2.1999999999999997,120037,134189,0.8945368100216858,180,0.000267,TRUE
50,DLCshifumi-PT-4a,16,0.01,0.28,0.03571428571428571,17,19,0.8947368421052632,8682,0.070021,FALSE
51,BART-PT-002,11,0.02,0.03,0.6666666666666667,927,1035,0.8956521739130435,878,0.00406,FALSE
52,TCPcondis-PT-05,11,0.04,0.09,0.4444444444444445,12497508,13951978,0.8957516991497549,62,9.6e-05,FALSE
53,DLCflexbar-PT-4a,6,0.01,0.08,0.125,52,58,0.896551724137931,7542,0.051448,FALSE
54,DatabaseWithMutex-PT-02,3,0.01,0.2,0.049999999999999996,313,349,0.8968481375358166,70,7.5e-05,FALSE
55,TCPcondis-PT-05,2,0.07,0.24,0.2916666666666667,16948203,18830220,0.9000533716547124,62,9.3e-05,FALSE
56,UtilityControlRoom-PT-Z2T4N06,12,0.11,0.09,1.2222222222222223,10362817,11511745,0.900195148520055,268,0.0004,FALSE
57,UtilityControlRoom-PT-Z2T3N06,9,0.04,0.04,1.0,10362817,11511745,0.900195148520055,268,0.000487,FALSE
