"model name","query index","time","memory","answer","solved by query simplification","prev place count","prev transition count","post place count","post transition count","rule A","rule B","rule C","rule D","rule E","rule F","rule G","rule H","rule I","rule J","rule K","rule L","rule M"
"ASLink-PT-01b","16","0.33","7972","FALSE","FALSE","846","1148","846","1148","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","2","1.68","7972","FALSE","FALSE","846","1148","846","1148","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","3","300.00","141872","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","4","300.01","148248","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","5","2.14","8044","FALSE","FALSE","846","1148","846","1148","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","6","300.00","161872","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","7","3.63","8628","FALSE","FALSE","846","1148","846","1148","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","8","300.00","121832","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-01b","9","300.01","147584","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","1","300.01","160112","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","10","0.81","7684","FALSE","FALSE","626","1008","626","1008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","11","0.18","7744","TRUE","FALSE","626","1008","626","1008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","12","300.01","168120","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","13","0.17","7740","FALSE","FALSE","626","1008","626","1008","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","14","300.01","232552","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","15","300.01","181572","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","16","300.00","137436","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ASLink-PT-02a","2","300.01","301344","NONE","FALSE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
